views,comments,duration,num_speaker,languages,event,main_speaker,name,speaker_occupation,title,description
1029186,173,585,1,31,TEDGlobal 2010,Lewis Pugh,Lewis Pugh: My mind-shifting Everest swim,Coldwater swimmer,My mind-shifting Everest swim,"After he swam the North Pole, Lewis Pugh vowed never to take another cold-water dip. Then he heard of Lake Imja in the Himalayas, created by recent glacial melting, and Lake Pumori, a body of water at an altitude of 5300 m on Everest -- and so began a journey that would teach him a radical new way to approach swimming and think about climate change."
431548,169,1169,1,23,TEDGlobal 2010,Jason Clay,Jason Clay: How big brands can help save biodiversity,Market transformer,How big brands can help save biodiversity,"Convince just 100 key companies to go sustainable, and WWF's Jason Clay says global markets will shift to protect the planet our consumption has already outgrown. Hear how his extraordinary roundtables are getting big brand rivals to agree on green practices first -- before their products duke it out on store shelves."
1049847,538,1102,1,30,TEDGlobal 2010,Sheryl WuDunn,Sheryl WuDunn: Our century's greatest injustice,"Author, journalist",Our century's greatest injustice,"Sheryl WuDunn's book ""Half the Sky"" investigates the oppression of women globally. Her stories shock. Only when women in developing countries have equal access to education and economic opportunity will we be using all our human resources."
734490,207,655,1,24,TEDGlobal 2010,Peter Molyneux,"Peter Molyneux: Meet Milo, the virtual boy",Game changer,"Meet Milo, the virtual boy","Peter Molyneux demos Milo, a hotly anticipated video game for Microsoft's Kinect controller. Perceptive and impressionable like a real 11-year-old, the virtual boy watches, listens and learns -- recognizing and responding to you."
799855,99,539,1,25,TEDGlobal 2010,Jamil Abu-Wardeh,Jamil Abu-Wardeh: The Axis of Evil Middle East Comedy Tour,Producer,The Axis of Evil Middle East Comedy Tour,"Jamil Abu-Wardeh jump-started the comedy scene in the Arab world by founding the Axis of Evil Middle East Comedy Tour, which brings standup comedians to laughing audiences all over the region. He's found that, by respecting the ""three B's"" (blue material, beliefs and ""bolitics""), the Axis of Evil comics find plenty of cross-border laughs."
4646183,287,554,1,34,TEDGlobal 2010,Maz Jobrani,Maz Jobrani: Did you hear the one about the Iranian-American?,Comedian,Did you hear the one about the Iranian-American?,"A founding member of the Axis of Evil Comedy Tour, standup comic Maz Jobrani riffs on the challenges and conflicts of being Iranian-American -- ""like, part of me thinks I should have a nuclear program; the other part thinks I can't be trusted ..."""
2581998,285,1076,1,31,TEDGlobal 2010,David McCandless,David McCandless: The beauty of data visualization,Data journalist,The beauty of data visualization,"David McCandless turns complex data sets (like worldwide military spending, media buzz, Facebook status updates) into beautiful, simple diagrams that tease out unseen patterns and connections. Good design, he suggests, is the best way to navigate information glut -- and it may just change the way we see the world."
592082,236,585,1,27,TEDGlobal 2010,Lee Hotz,Lee Hotz: Inside an Antarctic time machine,Journalist,Inside an Antarctic time machine,"Science columnist Lee Hotz describes a remarkable project at WAIS Divide, Antarctica, where a hardy team are drilling into ten-thousand-year-old ice to extract vital data on our changing climate."
1373377,137,458,1,37,TEDGlobal 2010,Dan Cobley,Dan Cobley: What physics taught me about marketing,Online marketing whiz,What physics taught me about marketing,"Physics and marketing don't seem to have much in common, but Dan Cobley is passionate about both. He brings these unlikely bedfellows together using Newton's second law, Heisenberg's uncertainty principle, the scientific method and the second law of thermodynamics to explain the fundamental theories of branding."
1597719,396,1009,1,36,TEDGlobal 2010,Nic Marks,Nic Marks: The Happy Planet Index,Happiness researcher,The Happy Planet Index,"Statistician Nic Marks asks why we measure a nation's success by its productivity -- instead of by the happiness and well-being of its people. He introduces the Happy Planet Index, which tracks national well-being against resource use (because a happy life doesn't have to cost the earth). Which countries rank highest in the HPI? You might be surprised."
924806,568,1090,1,25,TEDGlobal 2010,Johan Rockstrom,Johan Rockstrom: Let the environment guide our development,Sustainability expert,Let the environment guide our development,"Human growth has strained the Earth's resources, but as Johan Rockstrom reminds us, our advances also give us the science to recognize this and change behavior. His research has found nine ""planetary boundaries"" that can guide us in protecting our planet's many overlapping ecosystems."
4657799,582,195,1,58,TEDGlobal 2010,Derek Sivers,Derek Sivers: Keep your goals to yourself,Entrepreneur,Keep your goals to yourself,"After hitting on a brilliant new life plan, our first instinct is to tell someone, but Derek Sivers says it's better to keep goals secret. He presents research stretching as far back as the 1920s to show why people who talk about their ambitions may be less likely to achieve them."
1424250,175,848,1,28,TEDGlobal 2010,Rachel Sussman,Rachel Sussman: The world's oldest living things,"Artist, photographer",The world's oldest living things,"Rachel Sussman shows photographs of the world's oldest continuously living organisms -- from 2,000-year-old brain coral off Tobago's coast to an ""underground forest"" in South Africa that has lived since before the dawn of agriculture."
2528934,626,1033,1,43,TEDGlobal 2010,Sugata Mitra,Sugata Mitra: The child-driven education,Education researcher,The child-driven education,"Education scientist Sugata Mitra tackles one of the greatest problems of education -- the best teachers and schools don't exist where they're needed most. In a series of real-life experiments from New Delhi to South Africa to Italy, he gave kids self-supervised access to the web and saw results that could revolutionize how we think about teaching."
1306536,484,1133,1,31,TEDGlobal 2010,Chris Anderson,Chris Anderson: How web video powers global innovation,TED Curator,How web video powers global innovation,"TED's Chris Anderson says the rise of web video is driving a worldwide phenomenon he calls Crowd Accelerated Innovation -- a self-fueling cycle of learning that could be as significant as the invention of print. But to tap into its power, organizations will need to embrace radical openness. And for TED, it means the dawn of a whole new chapter ..."
2244295,241,241,1,39,TEDGlobal 2010,Jessa Gamble,Jessa Gamble: Our natural sleep cycle is nothing like what we do now,Writer,Our natural sleep cycle is nothing like what we do now,"In today's world, balancing school, work, kids and more, most of us can only hope for the recommended eight hours of sleep. Examining the science behind our body's internal clock, Jessa Gamble reveals the surprising and substantial program of rest we should be observing."
649740,60,341,1,33,TEDGlobal 2010,Caroline Phillips,Caroline Phillips: Hurdy-gurdy for beginners,Musician,Hurdy-gurdy for beginners,"Caroline Phillips cranks out tunes on a seldom-heard folk instrument: the hurdy-gurdy, a.k.a. the wheel fiddle. A searching, Basque melody follows her fun lesson on its unique anatomy and 1,000-year history."
1157394,209,534,1,30,TEDGlobal 2010,Christien Meindertsma,Christien Meindertsma: How pig parts make the world turn,Artist,How pig parts make the world turn,"Christien Meindertsma, author of ""Pig 05049"" looks at the astonishing afterlife of the ordinary pig, parts of which make their way into at least 185 non-pork products, from bullets to artificial hearts."
3951683,359,1065,1,33,TEDGlobal 2010,Steven Johnson,Steven Johnson: Where good ideas come from,Writer,Where good ideas come from,"People often credit their ideas to individual ""Eureka!"" moments. But Steven Johnson shows how history tells a different story. His fascinating tour takes us from the ""liquid networks"" of London's coffee houses to Charles Darwin's long, slow hunch to today's high-velocity web."
235221,40,1110,1,21,TEDGlobal 2010,Mitchell Besser,Mitchell Besser: Mothers helping mothers fight HIV,HIV/AIDS fighter,Mothers helping mothers fight HIV,"In sub-Saharan Africa, HIV infections are more prevalent and doctors scarcer than anywhere else in the world. With a lack of medical professionals, Mitchell Besser enlisted the help of his patients to create mothers2mothers -- an extraordinary network of HIV-positive women whose support for each other is changing and saving lives."
484254,105,556,1,32,TEDGlobal 2010,Annie Lennox,Annie Lennox: Why I am an HIV/AIDS activist,"Activist, singer-songwriter",Why I am an HIV/AIDS activist,"For the last eight years, pop singer Annie Lennox has devoted the majority of her time to her SING campaign, raising awareness and money to combat HIV/AIDS. She shares the experiences that have inspired her, from working with Nelson Mandela to meeting a little African girl in a desperate situation."
1147609,229,434,1,35,TEDGlobal 2010,Julian Treasure,Julian Treasure: Shh! Sound health in 8 steps,Sound consultant,Shh! Sound health in 8 steps,Julian Treasure says our increasingly noisy world is gnawing away at our mental health -- even costing lives. He lays out an 8-step plan to soften this sonic assault (starting with those cheap earbuds) and restore our relationship with sound.
942928,411,1165,1,28,TEDGlobal 2010,Sebastian Seung,Sebastian Seung: I am my connectome,Computational neuroscientist,I am my connectome,"Sebastian Seung is mapping a massively ambitious new model of the brain that focuses on the connections between each neuron. He calls it our ""connectome,"" and it's as individual as our genome -- and understanding it could open a new way to understand our brains and our minds."
343349,68,641,1,26,TEDGlobal 2010,Inge Missmahl,Inge Missmahl: Bringing peace to the minds of Afghanistan,Analytical psychologist,Bringing peace to the minds of Afghanistan,"When Jungian analyst Inge Missmahl visited Afghanistan, she saw the inner wounds of war -- widespread despair, trauma and depression. And yet, in this county of 30 million people, there were only two dozen psychiatrists. Missmahl talks about her work helping to build the country's system of psychosocial counseling, promoting both individual and, perhaps, national healing."
1097901,266,545,1,29,TEDGlobal 2010,Eben Bayer,Eben Bayer: Are mushrooms the new plastic?,Green designer,Are mushrooms the new plastic?,"Product designer Eben Bayer reveals his recipe for a new, fungus-based packaging material that protects fragile stuff like furniture, plasma screens -- and the environment."
899942,364,1223,1,28,TEDGlobal 2010,Tim Jackson,Tim Jackson: An economic reality check,Economist,An economic reality check,"As the world faces recession, climate change, inequity and more, Tim Jackson delivers a piercing challenge to established economic principles, explaining how we might stop feeding the crises and start investing in our future."
1075196,954,830,1,30,TEDGlobal 2010,Stefano Mancuso,Stefano Mancuso: The roots of plant intelligence,Plant neurobiologist,The roots of plant intelligence,"Plants behave in some oddly intelligent ways: fighting predators, maximizing food opportunities ... But can we think of them as actually having a form of intelligence of their own? Italian botanist Stefano Mancuso presents intriguing evidence."
1876053,148,1080,1,30,TEDGlobal 2010,Ze Frank,Ze Frank: My web playroom,"Humorist, web artist",My web playroom,"On the web, a new ""Friend"" may be just a click away, but true connection is harder to find and express. Ze Frank presents a medley of zany Internet toys that require deep participation -- and reward it with something more nourishing. You're invited, if you promise you'll share."
1359611,718,1113,1,35,TEDGlobal 2010,Jessica Jackley,"Jessica Jackley: Poverty, money -- and love",Microlender,"Poverty, money -- and love","What do you think of people in poverty? Maybe what Jessica Jackley once did: ""they"" need ""our"" help, in the form of a few coins in a jar. The co-founder of Kiva.org talks about how her attitude changed -- and how her work with microloans has brought new power to people who live on a few dollars a day."
1342475,266,914,1,29,TEDGlobal 2010,Heribert Watzke,Heribert Watzke: The brain in your gut,Food scientist,The brain in your gut,"Did you know you have functioning neurons in your intestines -- about a hundred million of them? Food scientist Heribert Watzke tells us about the ""hidden brain"" in our gut and the surprising things it makes us feel."
759736,135,752,1,39,TEDGlobal 2010,Patrick Chappatte,Patrick Chappatte: The power of cartoons,Editorial cartoonist,The power of cartoons,"In a series of witty punchlines, Patrick Chappatte makes a poignant case for the power of the humble cartoon. His projects in Lebanon, West Africa and Gaza show how, in the right hands, the pencil can illuminate serious issues and bring the most unlikely people together."
954049,264,1095,1,25,TEDGlobal 2010,Joseph Nye,Joseph Nye: Global power shifts,Diplomat,Global power shifts,"Historian and diplomat Joseph Nye gives us the 30,000-foot view of the shifts in power between China and the US, and the global implications as economic, political and ""soft"" power shifts and moves around the globe."
829399,144,671,1,34,TEDGlobal 2010,Miwa Matreyek,Miwa Matreyek: Glorious visions in animation and performance,Multimedia artist,Glorious visions in animation and performance,"Using animation, projections and her own moving shadow, Miwa Matreyek performs a gorgeous, meditative piece about inner and outer discovery. Take a quiet 10 minutes and dive in. With music from Anna Oxygen, Mirah, Caroline Lufkin and Mileece."
1021573,343,988,1,30,TEDGlobal 2010,Tom Chatfield,Tom Chatfield: 7 ways games reward the brain,Gaming theorist,7 ways games reward the brain,"We're bringing gameplay into more aspects of our lives, spending countless hours -- and real money -- exploring virtual worlds for imaginary treasures. Why? As Tom Chatfield shows, games are perfectly tuned to dole out rewards that engage the brain and keep us questing for more."
543551,834,422,1,36,TEDGlobal 2010,David Bismark,David Bismark: E-voting without fraud,Voting system designer,E-voting without fraud,"David Bismark demos a new system for voting that contains a simple, verifiable way to prevent fraud and miscounting -- while keeping each person's vote secret."
611081,124,1054,1,28,TEDGlobal 2010,Gero Miesenboeck,Gero Miesenboeck: Re-engineering the brain,Optogeneticist,Re-engineering the brain,"In the quest to map the brain, many scientists have attempted the incredibly daunting task of recording the activity of each neuron. Gero Miesenboeck works backward -- manipulating specific neurons to figure out exactly what they do, through a series of stunning experiments that reengineer the way fruit flies percieve light."
943245,156,1003,1,29,TEDGlobal 2010,Emily Pilloton,Emily Pilloton: Teaching design for change,Humanitarian design activist,Teaching design for change,"Designer Emily Pilloton moved to rural Bertie County, in North Carolina, to engage in a bold experiment of design-led community transformation. She's teaching a design-build class called Studio H that engages high schoolers' minds and bodies while bringing smart design and new opportunities to the poorest county in the state."
307628,74,1055,1,24,TEDGlobal 2010,Stefan Wolff,Stefan Wolff: The path to ending ethnic conflicts,Ethnic conflicts scholar,The path to ending ethnic conflicts,"Civil wars and ethnic conflicts have brought the world incredible suffering, but Stefan Wolff's figures show that, in the last 20 years, their number has steadily decreased. He extracts critical lessons from Northern Ireland, Liberia, Timor and more to show that leadership, diplomacy and institutional design are our three most effective weapons in waging peace."
586814,146,1066,1,26,TEDGlobal 2010,Auret van Heerden,Auret van Heerden: Making global labor fair,Labor-rights activist,Making global labor fair,FLA head Auret van Heerden talks about the next frontier of workers' rights -- globalized industries where no single national body can keep workers safe and protected. How can we keep our global supply chains honest? Van Heerden makes the business case for fair labor.
1154719,134,222,1,36,TEDGlobal 2010,Eric Berlow,Eric Berlow: Simplifying complexity,Ecologist,Simplifying complexity,"Ecologist Eric Berlow doesn't feel overwhelmed when faced with complex systems. He knows that more information can lead to a better, simpler solution. Illustrating the tips and tricks for breaking down big issues, he distills an overwhelming infographic on U.S. strategy in Afghanistan to a few elementary points."
1499219,579,1039,1,32,TEDGlobal 2010,Conrad Wolfram,Conrad Wolfram: Teaching kids real math with computers,Mathematician,Teaching kids real math with computers,"From rockets to stock markets, many of humanity's most thrilling creations are powered by math. So why do kids lose interest in it? Conrad Wolfram says the part of math we teach -- calculation by hand -- isn't just tedious, it's mostly irrelevant to real mathematics and the real world. He presents his radical idea: teaching kids math through computer programming."
960523,305,815,1,33,TEDGlobal 2010,John Hardy,John Hardy: My green school dream,"Designer, educator",My green school dream,"Join John Hardy on a tour of the Green School, his off-the-grid school in Bali that teaches kids how to build, garden, create (and get into college). The centerpiece of campus is the spiraling Heart of School, perhaps the world's largest freestanding bamboo building."
505716,187,1066,1,30,TEDGlobal 2010,Zainab Salbi,"Zainab Salbi: Women, wartime and the dream of peace",Activist and social entrepreneur,"Women, wartime and the dream of peace","In war we often see only the frontline stories of soldiers and combat. AT TEDGlobal 2010, Zainab Salbi tells powerful ""backline"" stories of women who keep everyday life going during conflicts, and calls for women to have a place at the negotiating table once fighting is over."
1393541,297,994,1,32,TEDGlobal 2010,Marcel Dicke,Marcel Dicke: Why not eat insects?,Ecological entomologist,Why not eat insects?,"Marcel Dicke makes an appetizing case for adding insects to everyone's diet. His message to squeamish chefs and foodies: delicacies like locusts and caterpillars compete with meat in flavor, nutrition and eco-friendliness."
833901,117,529,1,32,TEDGlobal 2010,Arthur Potts Dawson,Arthur Potts Dawson: A vision for sustainable restaurants,Green chef,A vision for sustainable restaurants,"If you've been in a restaurant kitchen, you've seen how much food, water and energy can be wasted there. Chef Arthur Potts-Dawson shares his very personal vision for drastically reducing restaurant, and supermarket, waste -- creating recycling, composting, sustainable engines for good (and good food)."
620073,38,954,1,24,TEDGlobal 2010,Iain Hutchison,Iain Hutchison: Saving faces: A facial surgeon's craft,Facial surgeon,Saving faces: A facial surgeon's craft,"Maxillofacial surgeon Iain Hutchison works with people whose faces have been severely disfigured. By pushing to improve surgical techniques, he helps to improve their lives; and by commissioning their portraits, he celebrates their humanity. NOTE: This talk contains images of disfigured and badly injured faces that may be disturbing -- and Hutchison provides thoughtful answers as to why a disfigured face can shock us so deeply. Squeamish? Hide your screen from 12:10 - 13:19, but do keep listening. Portraits shown in this talk come from Mark Gilbert."
735708,123,892,1,34,TEDGlobal 2011,Rebecca MacKinnon,Rebecca MacKinnon: Let's take back the Internet!,Internet freedom activist,Let's take back the Internet!,"In this powerful talk from TEDGlobal, Rebecca MacKinnon describes the expanding struggle for freedom and control in cyberspace, and asks: How do we design the next phase of the Internet with accountability and freedom at its core, rather than control? She believes the internet is headed for a ""Magna Carta"" moment when citizens around the world demand that their governments protect free speech and their right to connection."
703559,264,1073,1,29,TEDGlobal 2011,Maajid Nawaz,Maajid Nawaz: A global culture to fight extremism,Anti-extremism activist,A global culture to fight extremism,"Why do transnational extremist organizations succeed where democratic movements have a harder time taking hold? Maajid Nawaz, a former Islamist extremist, asks for new grassroots stories and global social activism to spread democracy in the face of nationalism and xenophobia."
1734555,316,1087,1,34,TEDGlobal 2011,Tim Harford,"Tim Harford: Trial, error and the God complex","Economist, journalist and broadcaster","Trial, error and the God complex","Economics writer Tim Harford studies complex systems -- and finds a surprising link among the successful ones: they were built through trial and error. In this sparkling talk from TEDGlobal 2011, he asks us to embrace our randomness and start making better mistakes."
498409,199,818,1,34,TEDGlobal 2011,Nadia Al-Sakkaf,Nadia Al-Sakkaf: See Yemen through my eyes,Journalist,See Yemen through my eyes,"As political turmoil in Yemen continues, the editor of the Yemen Times, Nadia Al-Sakkaf, talks at TEDGlobal with host Pat Mitchell. Al-Sakkaf's independent, English-language paper is vital for sharing news -- and for sharing a new vision of Yemen and of that country's women as equal partners in work and change."
1660801,222,1054,1,39,TEDGlobal 2011,Mikko Hypponen,"Mikko Hypponen: Fighting viruses, defending the net",Cybersecurity expert,"Fighting viruses, defending the net","It's been 25 years since the first PC virus (Brain A) hit the net, and what was once an annoyance has become a sophisticated tool for crime and espionage. Computer security expert Mikko Hyppönen tells us how we can stop these new viruses from threatening the internet as we know it."
2462734,621,835,1,37,TEDGlobal 2011,Thandie Newton,"Thandie Newton: Embracing otherness, embracing myself",Actor,"Embracing otherness, embracing myself","Actor Thandie Newton tells the story of finding her ""otherness"" -- first, as a child growing up in two distinct cultures, and then as an actor playing with many different selves. A warm, wise talk, fresh from stage at TEDGlobal 2011."
3688975,292,922,1,36,TEDGlobal 2011,Kevin Slavin,Kevin Slavin: How algorithms shape our world,Algoworld expert,How algorithms shape our world,"We live in a world run by algorithms, computer programs that make decisions or solve problems for us. In this riveting, funny talk, Kevin Slavin shows how modern algorithms determine stock prices, espionage tactics, even the movies you watch. But, he asks: If we depend on complex algorithms to manage our daily decisions -- when do we start to lose control?"
6264902,440,379,1,45,TEDGlobal 2011,Markus Fischer,Markus Fischer: A robot that flies like a bird,Designer,A robot that flies like a bird,"Plenty of robots can fly -- but none can fly like a real bird. That is, until Markus Fischer and his team at Festo built SmartBird, a large, lightweight robot, modeled on a seagull, that flies by flapping its wings. A soaring demo fresh from TEDGlobal 2011."
659276,212,1202,1,31,TEDGlobal 2011,Rory Stewart,Rory Stewart: Time to end the war in Afghanistan,Politician,Time to end the war in Afghanistan,"British MP Rory Stewart walked across Afghanistan after 9/11, talking with citizens and warlords alike. Now, a decade later, he asks: Why are Western and coalition forces still fighting there? He shares lessons from past military interventions that worked -- Bosnia, for instance -- and shows that humility and local expertise are the keys to success."
1435933,238,1053,1,34,TEDGlobal 2011,Geoffrey West,Geoffrey West: The surprising math of cities and corporations,Theorist,The surprising math of cities and corporations,"Physicist Geoffrey West has found that simple, mathematical laws govern the properties of cities -- that wealth, crime rate, walking speed and many other aspects of a city can be deduced from a single number: the city's population. In this mind-bending talk from TEDGlobal he shows how it works and how similar laws hold for organisms and corporations."
1948949,212,977,1,41,TEDGlobal 2011,Paul Bloom,Paul Bloom: The origins of pleasure,Psychologist,The origins of pleasure,"Why do we like an original painting better than a forgery? Psychologist Paul Bloom argues that human beings are essentialists -- that our beliefs about the history of an object change how we experience it, not simply as an illusion, but as a deep feature of what pleasure (and pain) is."
812508,162,1150,1,32,TEDGlobal 2011,Josette Sheeran,Josette Sheeran: Ending hunger now,Anti-hunger leader,Ending hunger now,"Josette Sheeran, the head of the UN's World Food Program, talks about why, in a world with enough food for everyone, people still go hungry, still die of starvation, still use food as a weapon of war. Her vision: ""Food is one issue that cannot be solved person by person. We have to stand together."""
5402228,351,470,1,48,TEDGlobal 2011,Julian Treasure,Julian Treasure: 5 ways to listen better,Sound consultant,5 ways to listen better,"In our louder and louder world, says sound expert Julian Treasure, ""We are losing our listening."" In this short, fascinating talk, Treasure shares five ways to re-tune your ears for conscious listening -- to other people and the world around you."
1134961,189,329,1,42,TEDGlobal 2011,Adam Ostrow,Adam Ostrow: After your final status update,Journalist,After your final status update,"Many of us have a social media presence -- a virtual personality made up of status updates, tweets and connections, stored in the cloud. Adam Ostrow asks a big question: What happens to that personality after you've died? Could it ... live on?"
2500389,375,771,1,37,TEDGlobal 2011,Harald Haas,Harald Haas: Wireless data from every light bulb,Communications technology innovator,Wireless data from every light bulb,"What if every light bulb in the world could also transmit data? At TEDGlobal, Harald Haas demonstrates, for the first time, a device that could do exactly that. By flickering the light from a single LED, a change too quick for the human eye to detect, he can transmit far more data than a cellular tower -- and do it in a way that's more efficient, secure and widespread."
1421357,405,1210,1,43,TEDGlobal 2011,Mark Pagel,Mark Pagel: How language transformed humanity,Evolutionary biologist,How language transformed humanity,"Biologist Mark Pagel shares an intriguing theory about why humans evolved our complex system of language. He suggests that language is a piece of ""social technology"" that allowed early human tribes to access a powerful new tool: cooperation."
551041,75,325,1,38,TEDGlobal 2011,Jessica Green,Jessica Green: Are we filtering the wrong microbes?,Engineer and biodiversity scientist,Are we filtering the wrong microbes?,"Should we keep the outdoors out of hospitals? Ecologist and TED Fellow Jessica Green has found that mechanical ventilation does get rid of many types of microbes, but the wrong kinds: the ones left in the hospital are much more likely to be pathogens."
984738,131,613,1,34,TEDGlobal 2011,Alex Steffen,Alex Steffen: The shareable future of cities,Planetary futurist,The shareable future of cities,How can cities help save the future? Alex Steffen shows some cool neighborhood-based green projects that expand our access to things we want and need -- while reducing the time we spend in cars.
842057,311,1061,1,35,TEDGlobal 2011,Jeremy Gilley,Jeremy Gilley: One day of peace,Peace activist,One day of peace,"Here's a crazy idea: Persuade the world to try living in peace for just one day, every September 21. In this energetic, honest talk, Jeremy Gilley tells the story of how this crazy idea became real -- real enough to help millions of kids in war-torn regions."
1079565,131,264,1,41,TEDGlobal 2011,Lucianne Walkowicz,Lucianne Walkowicz: Finding planets around other stars,Stellar astronomer,Finding planets around other stars,"How do we find planets -- even habitable planets -- around other stars? By looking for tiny dimming as a planet passes in front of its sun, TED Fellow Lucianne Walkowicz and the Kepler mission have found some 1,200 potential new planetary systems. With new techniques, they may even find ones with the right conditions for life."
5447236,380,307,1,47,TEDGlobal 2011,Marco Tempest,Marco Tempest: The magic of truth and lies (and iPods),Techno-illusionist,The magic of truth and lies (and iPods),"Using three iPods like magical props, Marco Tempest spins a clever, surprisingly heartfelt meditation on truth and lies, art and emotion."
1399333,143,1021,1,33,TEDGlobal 2011,Svante Pääbo,Svante Pääbo: DNA clues to our inner neanderthal,Geneticist,DNA clues to our inner neanderthal,"Sharing the results of a massive, worldwide study, geneticist Svante Pääbo shows the DNA proof that early humans mated with Neanderthals after we moved out of Africa. (Yes, many of us have Neanderthal DNA.) He also shows how a tiny bone from a baby finger was enough to identify a whole new humanoid species."
740934,323,651,1,35,TEDGlobal 2011,Julia Bacha,Julia Bacha: Pay attention to nonviolence,Filmmaker,Pay attention to nonviolence,"In 2003, the Palestinian village of Budrus mounted a 10-month-long nonviolent protest to stop a barrier being built across their olive groves. Did you hear about it? Didn't think so. Brazilian filmmaker Julia Bacha asks why we only pay attention to violence in the Israel-Palestine conflict -- and not to the nonviolent leaders who may one day bring peace."
693722,245,911,1,29,TEDGlobal 2011,Lee Cronin,Lee Cronin: Making matter come alive,Chemist,Making matter come alive,"Before life existed on Earth, there was just matter, inorganic dead ""stuff."" How improbable is it that life arose? And -- could it use a different type of chemistry? Using an elegant definition of life (anything that can evolve), chemist Lee Cronin is exploring this question by attempting to create a fully inorganic cell using a ""Lego kit"" of inorganic molecules -- no carbon -- that can assemble, replicate and compete."
946354,159,270,1,40,TEDGlobal 2011,Raghava KK,Raghava KK: Shake up your story,Artist,Shake up your story,"Artist Raghava KK demos his new children's book for iPad with a fun feature: when you shake it, the story -- and your perspective -- changes. In this charming short talk, he invites all of us to shake up our perspective a little bit."
992224,374,1131,1,29,TEDGlobal 2011,Yasheng Huang,Yasheng Huang: Does democracy stifle economic growth?,Political economist,Does democracy stifle economic growth?,"Economist Yasheng Huang compares China to India, and asks how China's authoritarian rule contributed to its astonishing economic growth -- leading to a big question: Is democracy actually holding India back? Huang's answer may surprise you."
1264969,185,1119,1,36,TEDGlobal 2011,Misha Glenny,Misha Glenny: Hire the hackers!,Underworld investigator,Hire the hackers!,"Despite multibillion-dollar investments in cybersecurity, one of its root problems has been largely ignored: who are the people who write malicious code? Underworld investigator Misha Glenny profiles several convicted coders from around the world and reaches a startling conclusion."
1564173,592,1219,1,33,TEDGlobal 2011,Niall Ferguson,Niall Ferguson: The 6 killer apps of prosperity,Historian,The 6 killer apps of prosperity,"Over the past few centuries, Western cultures have been very good at creating general prosperity for themselves. Historian Niall Ferguson asks: Why the West, and less so the rest? He suggests half a dozen big ideas from Western culture -- call them the 6 killer apps -- that promote wealth, stability and innovation. And in this new century, he says, these apps are all shareable."
834926,102,256,1,39,TEDGlobal 2011,Amy Lockwood,Amy Lockwood: Selling condoms in the Congo,Global development worker,Selling condoms in the Congo,"HIV is a serious problem in the DR Congo, and aid agencies have flooded the country with free and cheap condoms. But few people are using them. Why? ""Reformed marketer"" Amy Lockwood offers a surprising answer that upends a traditional model of philanthropy. (Some NSFW images.)"
484266,144,783,1,29,TEDGlobal 2011,Elizabeth Murchison,Elizabeth Murchison: Fighting a contagious cancer,Cancer researcher,Fighting a contagious cancer,"What is killing the Tasmanian devil? A virulent cancer is infecting them by the thousands  -- and unlike most cancers, it's contagious. Researcher Elizabeth Murchison tells us how she's fighting to save the Taz, and what she's learning about all cancers from this unusual strain. Contains disturbing images of facial cancer."
1390908,231,1112,1,33,TEDGlobal 2011,Abraham Verghese,Abraham Verghese: A doctor's touch,Physician and author,A doctor's touch,"Modern medicine is in danger of losing a powerful, old-fashioned tool: human touch. Physician and writer Abraham Verghese describes our strange new world where patients are merely data points, and calls for a return to the traditional one-on-one physical exam."
667985,155,376,1,37,TEDGlobal 2011,Geoff Mulgan,Geoff Mulgan: A short intro to the Studio School,Social commentator,A short intro to the Studio School,"Some kids learn by listening; others learn by doing. Geoff Mulgan gives a short introduction to the Studio School, a new kind of school in the UK where small teams of kids learn by working on projects that are, as Mulgan puts it, ""for real."""
399332,53,516,1,33,TEDGlobal 2011,Jarreth Merz,Jarreth Merz: Filming democracy in Ghana,Filmmaker,Filming democracy in Ghana,"Jarreth Merz, a Swiss-Ghanaian filmmaker, came to Ghana in 2008 to film the national elections. What he saw there taught him new lessons about democracy -- and about himself."
2204314,339,859,1,39,TEDGlobal 2011,Ben Goldacre,Ben Goldacre: Battling bad science,Debunker,Battling bad science,"Every day there are news reports of new health advice, but how can you know if they're right? Doctor and epidemiologist Ben Goldacre shows us, at high speed, the ways evidence can be distorted, from the blindingly obvious nutrition claims to the very subtle tricks of the pharmaceutical industry."
787092,117,355,1,29,TEDGlobal 2011,Danielle de Niese,Danielle de Niese: A flirtatious aria,Soprano,A flirtatious aria,"Can opera be ever-so-slightly sexy? The glorious soprano Danielle de Niese shows how, singing the flirty ""Meine Lippen, sie küssen so heiss."" Which, translated, means, as you might guess: ""I kiss so hot."" From Giuditta by Frans Lehár; accompanist: Ingrid Surgenor."
1776828,514,1034,1,32,TEDGlobal 2011,Yang Lan,Yang Lan: The generation that's remaking China,"Media mogul, TV host",The generation that's remaking China,"Yang Lan, a journalist and entrepreneur who's been called ""the Oprah of China,"" offers insight into the next generation of young Chinese citizens -- urban, connected (via microblogs) and alert to injustice."
975365,316,658,1,39,TEDGlobal 2011,Mike Biddle,Mike Biddle: We can recycle plastic,Plastics recycler,We can recycle plastic,"Less than 10% of plastic trash is recycled -- compared to almost 90% of metals -- because of the massively complicated problem of finding and sorting the different kinds. Frustrated by this waste, Mike Biddle has developed a cheap and incredibly energy efficient plant that can, and does, recycle any kind of plastic."
